#{"t_start": 1732542272.4963744, "env_id": "sokoban-narrow-v0"}
r,l,t
-6.0,10,2.9045
-7.0,6,2.941427
-9.0,8,2.996101
10.0,5,3.037244
-23.0,8,3.093137
-8.0,6,3.135167
6.0,6,3.178094
6.0,6,3.230663
-12.0,9,3.292377
4.0,6,3.333157
1.0,7,3.375892
2.0,8,3.426627
6.0,7,3.485334
-3.0,5,3.518785
-4.0,7,3.567829
-10.0,6,3.609715
5.0,9,3.662532
-1.0,6,3.690835
1.0,6,3.719411
9.0,9,3.786844
-6.0,6,3.816844
-7.0,7,3.853804
2.0,9,3.899826
-6.0,6,3.926819
4.0,8,3.964158
10.0,9,4.007222
-1.0,7,4.048314
10.0,9,4.090227
-1.0,8,4.139438
-5.0,10,4.188733
0.0,6,4.220737
-4.0,5,4.258036
4.0,6,4.287697
-5.0,6,4.319929
-5.0,6,4.355365
2.0,6,4.386372
7.0,7,4.419399
11.0,5,4.447911
-3.0,8,4.500793
-2.0,6,4.545044
-9.0,12,4.643596
-3.0,8,4.710104
-1.0,7,4.774113
2.0,6,4.825135
-9.0,8,4.910156
-2.0,9,4.967195
0.0,7,5.006498
1.0,6,5.037023
-1.0,10,5.110039
10.0,5,5.142044
5.0,6,5.180552
-4.0,7,5.234078
-11.0,12,5.322981
15.0,10,5.383017
-1.0,6,5.42553
-4.0,7,5.456531
1.0,7,5.495531
-8.0,7,5.543042
-1.0,5,5.566042
6.0,12,5.645065
2.0,8,5.717085
-15.0,5,5.740087
-4.0,8,5.787598
-5.0,8,5.839971
-6.0,9,5.894381
7.0,6,5.939036
10.0,5,5.975688
-4.0,6,6.008534
-8.0,5,6.037558
-4.0,5,6.072558
1.0,8,6.11858
0.0,12,6.18709
1.0,6,6.225619
-6.0,7,6.26362
-1.0,5,6.295132
-2.0,11,6.364153
7.0,9,6.417669
-2.0,8,6.47118
13.0,8,6.510198
7.0,5,6.535204
11.0,6,6.570206
20.0,7,6.612238
11.0,6,6.665751
-7.0,6,6.711135
6.0,10,6.786865
15.0,10,6.852377
-4.0,8,6.918919
-6.0,6,6.96192
-5.0,7,7.012469
-8.0,6,7.049988
2.0,8,7.105783
14.0,7,7.167541
-11.0,6,7.208049
16.0,9,7.267082
-5.0,5,7.302084
-11.0,11,7.375115
6.0,10,7.434143
-3.0,5,7.470137
0.0,6,7.504137
5.0,6,7.536649
2.0,7,7.584172
-4.0,7,7.620683
-3.0,6,7.651196
3.0,10,7.7042
-1.0,7,7.755225
10.0,9,7.801737
-5.0,10,7.863248
-8.0,5,7.885248
0.0,6,7.914283
6.0,9,7.961274
2.0,8,8.021493
-18.0,10,8.101782
4.0,8,8.153645
1.0,6,8.189718
4.0,8,8.239232
-5.0,10,8.292745
-8.0,7,8.331259
4.0,6,8.370988
2.0,7,8.409059
-10.0,12,8.497086
-4.0,14,8.588618
-3.0,6,8.647636
5.0,9,8.718157
-1.0,10,8.781258
-11.0,8,8.826054
4.0,7,8.878168
1.0,8,9.034021
-6.0,9,9.118064
-4.0,6,9.156576
-3.0,8,9.202092
4.0,5,9.235604
9.0,7,9.283601
-5.0,5,9.320114
-6.0,7,9.365625
-8.0,7,9.409627
1.0,7,9.596128
8.0,9,9.638502
-14.0,9,9.703149
24.0,1,9.709998
-2.0,7,9.752724
5.0,7,9.792262
0.0,8,10.039145
-14.0,5,10.073453
-20.0,6,10.106713
-2.0,6,10.148482
4.0,10,10.207423
3.0,8,10.260038
-7.0,5,10.293162
-18.0,6,10.337744
-7.0,9,10.392436
-11.0,7,10.437024
-3.0,9,10.496039
7.0,7,10.544397
-4.0,6,10.590137
0.0,5,10.627767
-5.0,7,10.668822
-3.0,5,10.694503
-3.0,6,10.725761
-1.0,8,10.766927
0.0,6,10.818243
1.0,10,10.897539
7.0,7,10.932619
3.0,11,11.004936
8.0,5,11.036536
-3.0,7,11.072536
-13.0,6,11.105264
6.0,7,11.144851
-12.0,11,11.219978
12.0,12,11.308339
-2.0,7,11.35472
8.0,7,11.387113
-1.0,10,11.449455
-1.0,6,11.502903
0.0,11,11.607879
6.0,9,11.648946
4.0,7,11.688958
0.0,5,11.73519
13.0,10,11.789423
7.0,7,11.838587
-6.0,6,11.892934
-2.0,6,11.937073
-3.0,5,11.972226
-4.0,6,12.004073
-2.0,15,12.113334
2.0,14,12.194094
0.0,12,12.264102
6.0,5,12.291669
-2.0,6,12.320636
10.0,7,12.355505
-3.0,8,12.412405
2.0,6,12.445987
4.0,7,12.500587
3.0,7,12.550146
14.0,6,12.582524
3.0,6,12.631611
-2.0,6,12.677327
-7.0,6,12.723131
-3.0,9,12.778671
1.0,9,12.829401
0.0,7,12.868242
7.0,6,12.903188
-6.0,6,12.936341
10.0,6,12.97512
-6.0,9,13.033903
2.0,8,13.080851
2.0,8,13.138646
7.0,11,13.219868
1.0,7,13.27973
0.0,9,13.34298
-5.0,9,13.429394
9.0,10,13.485167
0.0,6,13.517061
-3.0,6,13.547772
-5.0,11,13.608146
4.0,7,13.650408
-2.0,5,13.681702
4.0,8,13.724784
-11.0,6,13.757885
-14.0,7,13.793355
7.0,6,13.825495
4.0,5,13.858493
3.0,7,13.897427
-7.0,8,13.942497
-4.0,6,13.9803
-6.0,6,14.013246
2.0,8,14.058156
12.0,11,14.121084
8.0,9,14.169314
3.0,5,14.19733
4.0,8,14.25294
-7.0,11,14.315596
7.0,6,14.35057
-6.0,7,14.389895
-2.0,5,14.423367
0.0,6,14.456719
8.0,10,14.516609
10.0,10,14.573242
12.0,12,14.645692
-1.0,11,14.774944
4.0,8,14.830388
-2.0,6,14.870901
3.0,7,14.917143
-2.0,5,14.946909
3.0,8,15.009216
1.0,6,15.054391
-7.0,5,15.106388
1.0,14,16.092719
-7.0,6,16.129053
-3.0,9,16.197212
15.0,7,16.23891
-3.0,6,16.276193
-3.0,8,16.322591
2.0,6,16.356206
7.0,11,16.446516
-1.0,6,16.501101
2.0,8,16.570964
-15.0,9,16.641273
8.0,6,16.676259
4.0,9,16.751143
9.0,9,16.813995
4.0,8,16.861794
-1.0,13,16.958181
-6.0,9,17.031939
-1.0,5,17.079173
3.0,6,17.137305
1.0,5,17.174777
-6.0,6,17.216214
-10.0,5,17.385678
6.0,7,17.427186
-3.0,8,17.484186
12.0,9,17.53771
-6.0,7,17.58871
-3.0,9,17.653
15.0,11,74.79373
-2.0,7,74.860473
10.0,7,74.914246
11.0,8,74.986571
-2.0,6,75.042319
11.0,7,75.093301
-13.0,9,75.168006
1.0,6,75.221005
-3.0,7,75.27254
10.0,11,75.346677
-6.0,8,75.403773
7.0,10,75.484103
-2.0,15,75.60167
2.0,6,75.646182
2.0,8,75.706563
-10.0,13,75.805258
-7.0,8,75.919465
2.0,12,76.034983
5.0,5,76.076073
6.0,7,76.139441
0.0,5,76.17096
-6.0,6,76.216477
-3.0,10,76.300695
1.0,5,76.338369
-11.0,7,76.406198
7.0,6,77.487176
11.0,6,77.541182
13.0,14,77.655512
1.0,9,77.732509
12.0,8,77.807035
9.0,7,77.870554
-5.0,9,77.983631
-4.0,9,78.094966
7.0,9,78.181537
10.0,7,78.257584
2.0,11,78.361548
4.0,8,78.443942
3.0,7,78.520113
2.0,11,78.626474
7.0,7,78.689513
8.0,13,78.803309
11.0,8,78.871661
5.0,6,78.923146
5.0,7,78.991899
3.0,7,79.049404
4.0,5,79.10344
2.0,7,79.195955
1.0,6,79.267007
7.0,8,79.358853
4.0,8,79.42417
4.0,7,79.483706
-5.0,9,79.554226
5.0,9,79.661909
-9.0,9,79.732886
3.0,6,79.785563
-15.0,7,79.840083
3.0,9,79.907084
-5.0,11,79.994603
-2.0,6,80.044129
4.0,5,80.079129
-4.0,8,80.134129
-4.0,8,80.191655
3.0,9,80.258175
-4.0,11,80.335175
-6.0,5,80.368203
-2.0,10,80.439538
3.0,7,80.519627
0.0,13,80.61587
2.0,8,80.701195
-1.0,7,80.757034
3.0,12,80.843838
7.0,8,80.903835
2.0,7,80.956284
-2.0,7,81.015405
7.0,7,81.074434
-3.0,7,81.124433
-2.0,7,81.194902
-10.0,9,81.320497
-3.0,6,81.364494
1.0,6,81.404562
-9.0,9,81.473
-6.0,14,81.602763
10.0,10,81.694089
-5.0,9,81.766653
8.0,8,81.831452
1.0,8,81.897062
-7.0,10,81.970171
-14.0,8,82.031176
10.0,11,82.123204
-9.0,9,82.184753
0.0,5,82.249709
13.0,8,82.353856
-8.0,10,82.441372
2.0,8,82.500372
6.0,8,82.575902
-7.0,7,82.624933
5.0,6,82.676668
1.0,9,82.768079
2.0,8,82.849831
4.0,5,82.894588
-2.0,9,82.982047
8.0,8,83.051568
-6.0,5,83.092567
-1.0,6,83.142226
-5.0,7,83.197227
0.0,9,83.268234
1.0,7,83.32759
-3.0,11,83.408095
13.0,8,83.469491
6.0,7,83.519905
4.0,6,83.563368
2.0,11,83.652307
2.0,5,83.691083
3.0,5,83.729308
-4.0,6,83.783114
-3.0,12,83.910646
0.0,8,83.972235
0.0,6,84.019657
-2.0,7,84.270412
-4.0,5,84.307415
1.0,7,84.40803
9.0,8,84.47515
5.0,6,84.528148
4.0,7,84.581669
-8.0,8,84.648669
2.0,6,84.697925
0.0,13,84.826397
-5.0,10,84.918469
12.0,7,84.99873
-13.0,11,85.103343
-12.0,8,85.186452
-5.0,6,85.238189
2.0,6,85.301392
-16.0,7,85.357524
-9.0,6,85.406619
5.0,7,85.466866
9.0,7,85.522857
10.0,6,85.571388
2.0,5,85.603383
-8.0,9,85.667912
-2.0,6,85.711912
0.0,8,85.768462
8.0,6,85.809399
-5.0,5,85.844284
11.0,5,85.879417
0.0,5,85.916675
-17.0,7,86.00107
0.0,6,86.046752
-9.0,13,86.157303
-5.0,12,86.243812
6.0,11,86.334819
5.0,8,86.396349
5.0,8,86.45288
13.0,10,86.537248
5.0,5,86.577138
10.0,6,86.623142
-7.0,7,86.670661
6.0,8,86.72684
-15.0,5,86.762736
5.0,5,86.797639
9.0,5,86.831849
-2.0,6,86.872536
7.0,8,86.926002
-13.0,5,86.970162
-10.0,7,87.032267
-10.0,5,87.065903
0.0,9,87.137146
0.0,7,87.188675
0.0,6,87.229255
2.0,8,87.311143
-2.0,9,87.411556
2.0,12,87.510438
7.0,6,87.564781
-5.0,9,87.62978
-9.0,7,87.677575
-3.0,8,87.737777
-2.0,7,87.797299
-8.0,5,87.837297
-10.0,10,87.902813
4.0,6,87.955339
-4.0,6,88.020338
0.0,9,88.104395
10.0,12,88.191559
-2.0,7,88.240559
-11.0,11,88.345592
17.0,6,88.414848
5.0,14,88.511224
7.0,8,88.566126
-8.0,6,88.606491
2.0,10,88.677007
0.0,8,88.740007
6.0,13,88.83009
4.0,7,88.892605
3.0,10,88.963844
1.0,6,89.008176
-4.0,9,89.069688
0.0,5,89.10469
11.0,7,89.152196
-8.0,7,89.20215
-6.0,6,89.245228
-3.0,7,89.295228
6.0,8,89.365758
3.0,8,89.427759
-6.0,7,89.475266
5.0,5,89.513916
8.0,9,89.580087
0.0,6,89.630495
-6.0,10,89.719105
8.0,7,89.771059
0.0,7,89.842057
-1.0,5,89.876572
4.0,7,89.925572
-3.0,12,90.006095
-3.0,8,90.088627
-17.0,5,90.136623
5.0,10,90.210151
2.0,9,90.270676
-5.0,6,90.318678
-5.0,6,90.361203
-5.0,6,90.439221
-8.0,5,90.495932
2.0,10,90.574455
4.0,7,90.655655
-8.0,8,90.736583
6.0,7,90.795828
6.0,8,90.864033
4.0,11,90.946398
12.0,7,91.003601
-9.0,7,91.057822
3.0,8,91.133138
-9.0,5,91.192697
-10.0,7,91.259362
0.0,9,91.341575
-8.0,10,91.425199
1.0,6,91.466709
0.0,9,91.546221
1.0,8,91.635221
1.0,10,91.754482
-5.0,7,91.824534
-3.0,10,91.926465
8.0,6,91.978113
-2.0,8,92.055425
-11.0,6,92.118915
8.0,7,92.184898
5.0,6,92.253106
3.0,8,92.842398
-8.0,8,92.923919
2.0,14,93.044469
6.0,6,93.122207
12.0,6,93.214372
4.0,7,93.508004
-3.0,6,93.556989
4.0,8,93.610991
-1.0,7,93.658517
-5.0,10,93.729427
-6.0,10,93.823439
