#{"t_start": 1732747806.578525, "env_id": "sokoban-turtle-v0"}
r,l,t
0.0,12,1.796992
0.0,8,2.160414
-1.0,13,2.705984
1.0,10,3.14624
0.0,11,3.613377
4.0,8,3.952751
0.0,7,4.280051
-3.0,12,4.793115
-8.0,15,5.456816
-9.0,16,6.151706
4.0,17,6.896362
-6.0,12,7.424402
-9.0,9,7.808874
-3.0,10,8.251171
-2.0,6,8.516162
0.0,10,9.057455
0.0,7,9.435593
-4.0,7,9.808584
0.0,8,10.251099
0.0,16,11.138373
6.0,14,11.913941
-5.0,21,13.079315
4.0,11,13.683696
5.0,10,14.218061
-3.0,10,14.737708
0.0,14,15.515053
-4.0,8,15.9247
0.0,5,16.186284
0.0,11,16.770866
