#{"t_start": 1732804559.5486577, "env_id": "sokoban-wide-v0"}
r,l,t
7.0,5,1.146304
-3.0,6,1.233301
-2.0,5,1.308302
4.0,5,1.398306
3.0,6,1.478302
0.0,5,1.562301
-9.0,6,1.667634
7.0,5,1.768629
-3.0,5,1.868923
-14.0,8,1.96292
-6.0,6,2.053477
5.0,5,2.11747
-6.0,6,2.20447
0.0,6,2.293468
3.0,6,2.403468
-6.0,6,2.490467
-4.0,6,2.608469
4.0,7,2.70347
-16.0,6,2.787483
3.0,6,2.86595
1.0,7,2.967948
-1.0,5,3.028948
-7.0,6,3.114436
-4.0,5,3.219433
-2.0,5,3.285433
1.0,6,3.356433
-7.0,6,3.43557
-9.0,6,3.521579
-4.0,6,3.61957
1.0,5,3.709579
6.0,6,4.212578
6.0,6,4.3047
-8.0,5,4.379699
17.0,8,4.478697
17.0,8,4.611698
2.0,6,4.6987
-3.0,7,4.788699
-7.0,5,4.844207
-8.0,5,4.917284
4.0,6,4.982208
9.0,7,5.077206
-15.0,7,5.156207
4.0,5,5.236295
3.0,5,5.30224
-3.0,8,5.41424
15.0,6,5.566241
1.0,5,5.621243
-10.0,5,5.69024
13.0,5,5.752241
6.0,9,5.879749
2.0,8,5.962749
-1.0,5,6.03575
15.0,7,6.15492
-2.0,5,6.218921
-2.0,7,6.315924
-3.0,6,6.38193
13.0,5,6.441921
16.0,5,6.54192
-1.0,6,6.636921
-1.0,6,6.705921
-5.0,5,6.755923
5.0,5,6.824428
12.0,5,6.906427
18.0,5,6.964429
3.0,6,7.028429
-1.0,6,7.107428
0.0,6,7.246428
-1.0,5,7.350427
4.0,6,7.467434
22.0,5,7.550958
2.0,5,7.631947
5.0,7,7.779886
-4.0,6,7.892398
-15.0,7,8.006396
2.0,8,8.148396
0.0,7,8.278464
1.0,6,8.359395
-3.0,6,8.474395
-2.0,7,8.586397
8.0,5,8.694397
4.0,5,8.810395
-2.0,8,9.076705
-4.0,7,9.200704
1.0,9,9.44879
-5.0,7,9.646797
12.0,6,9.735797
6.0,8,9.873312
3.0,7,9.993311
-6.0,6,10.123309
-13.0,6,10.236624
0.0,6,10.410553
-4.0,6,10.533551
2.0,5,10.64755
-5.0,5,10.727551
3.0,7,10.861071
-2.0,6,10.958815
-12.0,6,11.072819
0.0,7,11.198816
3.0,7,11.30089
0.0,6,11.400816
-1.0,5,11.488814
-12.0,6,11.58208
-7.0,5,11.662529
7.0,9,11.781597
2.0,5,11.853711
-12.0,5,11.917714
-2.0,6,12.023708
-3.0,10,12.172708
7.0,6,12.279711
4.0,5,12.358709
12.0,6,12.516711
21.0,8,12.653708
8.0,6,12.76371
-14.0,5,12.830709
-5.0,6,12.917214
12.0,6,13.017471
-9.0,6,13.111471
1.0,5,13.201472
6.0,8,13.331473
-7.0,6,13.437473
-2.0,8,13.543475
-9.0,6,13.655474
4.0,5,13.752472
5.0,8,13.883978
0.0,5,13.977978
-7.0,5,14.05898
-1.0,7,14.150979
-8.0,6,14.252513
16.0,7,14.362188
5.0,8,14.543188
0.0,6,14.65819
11.0,7,14.750188
4.0,6,14.827194
1.0,6,14.911262
2.0,5,15.024261
1.0,8,15.191261
-13.0,8,15.359335
4.0,6,15.451349
-7.0,6,15.550333
-1.0,5,15.653341
-8.0,9,15.800523
-1.0,5,15.889864
1.0,6,16.013864
-8.0,5,16.12186
7.0,8,16.240865
9.0,7,16.358863
1.0,9,16.499866
-4.0,6,16.58186
7.0,7,16.670926
1.0,6,16.768859
-2.0,6,16.85186
-5.0,5,16.932365
-1.0,5,17.016368
3.0,6,17.099753
-4.0,5,17.178753
-4.0,5,17.252753
-7.0,6,17.58786
-11.0,6,17.678857
-6.0,9,18.472889
-1.0,5,18.534889
-2.0,9,18.663062
9.0,6,18.764889
6.0,6,19.314784
-11.0,5,19.367781
-8.0,7,19.467783
-10.0,6,19.547781
6.0,5,19.622781
14.0,5,19.701781
4.0,8,19.840208
-13.0,5,19.928713
3.0,5,20.021716
-3.0,5,20.132714
