#{"t_start": 1732542272.4983823, "env_id": "sokoban-narrow-v0"}
r,l,t
14.0,9,2.896492
0.0,8,2.945419
-7.0,8,3.007102
-3.0,7,3.059201
1.0,7,3.106894
-3.0,5,3.139444
1.0,8,3.199431
-6.0,7,3.251806
-7.0,6,3.295748
-9.0,6,3.337504
-16.0,7,3.381885
8.0,6,3.420477
2.0,7,3.47588
13.0,8,3.53226
-8.0,5,3.566345
-4.0,9,3.624564
-5.0,5,3.654241
4.0,8,3.694238
7.0,6,3.724308
-12.0,13,3.809124
-12.0,11,3.863995
-4.0,9,3.911567
-5.0,7,3.94338
-13.0,8,3.979366
-13.0,8,4.021832
1.0,11,4.078752
-1.0,8,4.123504
-4.0,7,4.160568
-9.0,6,4.191408
5.0,5,4.218729
-6.0,6,4.261832
-5.0,7,4.298199
7.0,8,4.344196
0.0,9,4.387878
1.0,8,4.431903
2.0,10,4.490058
-3.0,7,4.544036
7.0,5,4.580554
11.0,5,4.628076
-3.0,5,4.663596
3.0,11,4.766102
4.0,7,4.823128
2.0,11,4.927669
-11.0,7,4.970186
2.0,7,5.009211
5.0,8,5.051014
4.0,10,5.127036
-6.0,6,5.160545
11.0,10,5.23807
5.0,6,5.282053
-8.0,7,5.332974
4.0,8,5.382009
1.0,7,5.428526
-9.0,7,5.460523
-7.0,7,5.500523
-2.0,6,5.542034
-9.0,8,5.589546
-8.0,5,5.624057
8.0,7,5.67157
0.0,7,5.72408
-2.0,5,5.750079
7.0,7,5.790591
11.0,9,5.852319
-6.0,8,5.904382
-7.0,9,5.967076
-9.0,6,6.002526
0.0,5,6.02855
-16.0,7,6.077552
-7.0,5,6.100552
1.0,8,6.156575
-13.0,8,6.200087
-10.0,6,6.238613
-15.0,8,6.283126
-6.0,6,6.317635
12.0,8,6.369145
7.0,12,6.440172
3.0,6,6.480174
-11.0,9,6.524195
-4.0,6,6.553199
1.0,12,6.638226
-10.0,10,6.716449
-5.0,9,6.785857
-1.0,9,6.843376
2.0,8,6.909395
3.0,12,6.997946
-1.0,9,7.055978
-4.0,5,7.087774
6.0,6,7.137404
7.0,8,7.201042
5.0,5,7.229562
0.0,6,7.277077
-6.0,6,7.310592
-8.0,7,7.357106
5.0,7,7.401622
-2.0,5,7.433135
6.0,9,7.493129
-13.0,8,7.535641
10.0,6,7.574165
14.0,6,7.609675
-3.0,6,7.639191
-3.0,5,7.663189
-2.0,9,7.720219
-3.0,7,7.761217
13.0,6,7.792729
-7.0,10,7.856238
0.0,6,7.884239
-6.0,6,7.913266
1.0,6,7.942266
-2.0,7,7.98878
2.0,6,8.035095
-3.0,7,8.091041
-2.0,6,8.137707
-5.0,9,8.18771
-3.0,9,8.243224
0.0,7,8.280737
-2.0,6,8.31525
4.0,5,8.339762
4.0,7,8.388052
-4.0,7,8.423074
2.0,5,8.463078
5.0,5,8.50559
3.0,7,8.555098
-1.0,5,8.577098
-2.0,8,8.653629
-3.0,6,8.697139
-2.0,5,8.733739
-1.0,6,8.77325
