#{"t_start": 1731951856.666425, "env_id": "sokoban-narrow-v0"}
r,l,t
-14.0,8,1.316169
10.0,8,1.425761
-1.0,5,1.430764
-1.0,6,1.437775
-3.0,8,1.444783
9.0,7,1.452289
0.0,8,1.460807
-3.0,8,1.468834
6.0,7,1.474855
1.0,6,1.479856
-9.0,15,1.491876
-7.0,10,1.498134
-5.0,8,1.504689
7.0,12,1.512698
0.0,7,1.518077
1.0,6,1.52258
1.0,8,1.527584
10.0,8,1.534852
1.0,7,1.539853
-3.0,6,1.546871
-3.0,8,1.556916
10.0,11,1.569551
3.0,7,1.578587
-3.0,5,1.585634
-5.0,11,1.598665
4.0,5,1.603681
2.0,5,1.608686
-6.0,10,1.616731
3.0,8,1.626134
4.0,6,1.631132
3.0,5,1.634644
2.0,8,1.640643
-7.0,5,1.645035
5.0,8,1.653558
-9.0,8,1.664611
3.0,6,1.677687
-3.0,7,1.686716
0.0,8,1.694749
-7.0,8,1.701741
7.0,10,1.709752
5.0,7,1.715764
1.0,12,1.72679
-4.0,10,1.735812
-7.0,7,1.742317
12.0,13,1.752836
-1.0,8,1.75784
-3.0,7,1.762844
2.0,8,1.769851
-9.0,8,1.776873
-5.0,7,1.782882
-7.0,6,1.787894
2.0,5,1.792903
10.0,7,1.804929
13.0,6,1.810436
7.0,7,1.824488
2.0,7,1.833503
0.0,11,1.847564
-5.0,7,1.854587
3.0,8,1.863607
2.0,11,1.873625
5.0,10,1.880627
-13.0,6,1.886648
3.0,7,1.894668
-5.0,9,1.903735
-8.0,6,1.909736
-3.0,6,1.914759
-12.0,8,1.922764
8.0,9,1.936789
-3.0,7,1.944827
8.0,7,1.95189
6.0,8,1.962419
-1.0,5,1.967935
-6.0,8,1.974957
2.0,7,1.982462
-7.0,7,1.98898
-13.0,8,2.000014
3.0,7,2.008621
-23.0,16,2.048785
7.0,7,2.060795
18.0,7,2.070812
-10.0,9,2.078825
0.0,6,2.084841
2.0,7,2.09184
7.0,7,2.09985
-4.0,8,2.107709
-2.0,10,2.114721
5.0,8,2.12172
-2.0,6,2.125733
4.0,7,2.135759
-4.0,10,2.14678
5.0,6,2.153817
-5.0,5,2.157819
4.0,6,2.162802
5.0,5,2.168808
2.0,11,2.180253
2.0,7,2.186263
-3.0,7,2.193275
0.0,8,2.200278
-3.0,7,2.212818
-4.0,9,2.219812
13.0,7,2.226838
-2.0,7,2.234028
-19.0,7,2.244589
1.0,5,2.24958
-4.0,8,2.255611
0.0,6,2.262633
4.0,7,2.268645
-4.0,5,2.276669
-10.0,7,2.284028
5.0,9,2.293712
-16.0,8,2.302731
-3.0,5,2.311737
-3.0,9,2.320761
-2.0,11,2.329774
2.0,5,2.334795
17.0,6,2.341798
-6.0,6,2.352217
-2.0,11,2.363746
-2.0,5,2.36975
4.0,9,2.382771
-2.0,7,2.392801
-1.0,7,2.400823
1.0,8,2.412595
-8.0,7,2.420604
0.0,5,2.427632
16.0,6,2.435675
1.0,8,2.44469
-4.0,5,2.452708
9.0,10,2.464738
8.0,6,2.472752
0.0,7,2.479793
-3.0,15,2.69766
0.0,11,2.714746
-9.0,12,2.729798
-8.0,5,2.738819
1.0,6,2.746859
12.0,10,2.760889
-8.0,9,2.771919
4.0,5,2.77795
-2.0,9,2.788961
12.0,9,2.799973
-2.0,8,2.817571
-3.0,12,2.829621
-6.0,8,2.839654
0.0,8,2.850691
-2.0,8,2.860855
-5.0,7,2.868888
8.0,8,2.877313
3.0,7,2.888343
7.0,9,2.900374
4.0,9,2.911894
0.0,6,2.919405
-7.0,7,2.927419
-11.0,8,2.939435
-4.0,6,2.947465
9.0,5,2.954486
-1.0,11,2.972839
-12.0,6,2.981861
4.0,11,2.994413
4.0,6,3.006956
5.0,7,3.018991
-5.0,6,3.027714
13.0,8,3.038731
-1.0,6,3.050758
10.0,5,3.057772
-7.0,7,3.067801
3.0,6,3.077693
1.0,5,3.087723
-5.0,5,3.098844
-10.0,7,3.114369
-7.0,8,3.12797
-8.0,14,3.158634
-7.0,9,3.17473
1.0,5,3.189765
-14.0,7,3.203823
5.0,8,3.221853
-4.0,7,3.236208
-16.0,8,3.24987
4.0,8,3.265024
-14.0,8,3.277048
0.0,6,3.28656
-3.0,8,3.304149
-9.0,7,3.317694
12.0,9,3.333908
6.0,11,3.415932
-8.0,9,3.435008
8.0,7,3.445026
-8.0,9,3.460609
6.0,10,3.479689
2.0,5,3.487718
15.0,8,3.50403
-4.0,5,3.515197
2.0,9,3.528219
1.0,7,3.541812
-2.0,7,3.553282
-3.0,6,3.56179
7.0,9,3.574332
-1.0,6,3.583367
-5.0,6,3.594057
-4.0,8,3.617992
-8.0,7,3.642015
-10.0,8,3.652544
5.0,7,3.664097
5.0,6,3.673654
6.0,8,3.684712
0.0,7,3.697739
7.0,7,3.707762
21.0,11,3.730833
-2.0,7,3.741854
5.0,10,3.754027
2.0,11,3.767485
5.0,10,3.784571
10.0,5,3.792089
12.0,6,3.800663
-7.0,8,3.815296
2.0,12,3.842861
5.0,6,3.85101
-16.0,7,3.860592
2.0,5,3.868681
-3.0,8,3.884201
0.0,5,3.891724
-10.0,8,3.902847
2.0,10,3.9209
4.0,8,3.932929
0.0,12,3.953985
0.0,8,3.965026
4.0,6,3.972841
-4.0,7,3.980382
-7.0,10,3.999424
-1.0,6,4.007449
4.0,5,4.014992
-9.0,7,4.026014
-6.0,7,4.039546
-1.0,8,4.0506
-6.0,8,4.060651
3.0,5,4.068695
8.0,5,4.076735
9.0,10,4.086767
19.0,11,4.0978
6.0,6,4.104829
4.0,9,4.114856
8.0,8,4.128888
15.0,7,4.137911
-9.0,7,4.144919
2.0,6,4.152924
14.0,6,4.162667
1.0,8,4.17068
-16.0,12,4.186753
14.0,7,4.195783
10.0,7,4.207807
-7.0,11,4.224249
-8.0,8,4.233264
-9.0,11,4.267632
2.0,9,4.285682
4.0,5,4.293701
-12.0,6,4.302918
-14.0,10,4.320998
-7.0,5,4.328682
6.0,6,4.342843
4.0,7,4.352352
-2.0,8,4.361864
13.0,7,4.520565
-4.0,8,4.540692
-4.0,7,4.55275
5.0,5,4.560771
-14.0,6,4.572293
14.0,9,4.585256
0.0,7,7.776713
5.0,10,7.787728
-3.0,7,7.79677
-7.0,5,7.804133
5.0,7,7.816893
1.0,6,7.826346
-5.0,10,7.836893
2.0,6,7.844912
-2.0,6,7.852919
-2.0,8,7.864955
10.0,9,7.875122
-8.0,5,7.880119
-3.0,5,7.885631
-4.0,7,7.893655
-1.0,7,7.900658
-10.0,7,7.908194
-2.0,9,7.917711
1.0,7,7.924726
-2.0,6,7.930727
-1.0,8,7.938741
3.0,7,7.945752
-9.0,12,7.957767
5.0,7,7.964779
-13.0,9,7.974797
-1.0,5,7.980796
11.0,15,8.002337
31.0,7,8.017374
1.0,5,8.025411
5.0,5,8.031921
-2.0,6,8.040175
-8.0,8,8.049677
-1.0,5,8.055695
4.0,11,8.068705
6.0,6,8.07472
-4.0,10,8.084737
2.0,7,8.091736
-12.0,6,8.097748
3.0,6,8.102757
1.0,10,8.113275
-6.0,9,8.120278
-10.0,14,8.136033
-9.0,7,8.143835
-2.0,7,8.152346
3.0,5,8.157857
-3.0,10,8.169878
-7.0,6,8.177913
4.0,5,8.183624
-10.0,9,8.194077
10.0,5,8.200604
4.0,6,8.207768
-1.0,6,8.216778
5.0,7,8.225793
11.0,7,8.244837
3.0,5,8.251838
-14.0,6,8.259867
-5.0,7,8.269878
2.0,6,8.279901
-1.0,6,8.28793
-5.0,6,8.295361
10.0,9,8.305921
2.0,6,8.31324
-13.0,6,8.318629
2.0,9,8.327649
-1.0,9,8.336672
-2.0,6,8.342678
7.0,6,8.347685
-4.0,11,8.358701
-1.0,6,8.364712
0.0,9,8.37372
-6.0,6,8.378722
7.0,9,8.387733
-10.0,5,8.393741
-2.0,5,8.399743
12.0,6,8.407256
2.0,8,8.416266
-7.0,5,8.421822
-3.0,6,8.429392
12.0,5,8.435086
-12.0,8,8.444013
3.0,12,8.456552
-1.0,9,8.464027
2.0,10,8.47355
-2.0,7,8.479546
6.0,10,8.488926
-14.0,8,8.496943
2.0,6,8.50245
-6.0,11,8.511977
-9.0,8,8.519257
6.0,11,8.528858
3.0,5,8.536243
-5.0,9,8.545942
3.0,7,8.55245
-6.0,6,8.558341
-1.0,10,8.567358
-2.0,7,8.574374
2.0,10,8.585407
4.0,8,8.595445
8.0,9,8.607986
0.0,9,8.619019
14.0,8,8.629054
5.0,7,8.640562
2.0,6,8.647617
-14.0,8,8.65867
-2.0,7,8.668701
5.0,8,8.682751
0.0,5,8.689767
-5.0,7,8.698806
9.0,9,8.710348
