#{"t_start": 1732753908.3045733, "env_id": "sokoban-turtle-v0"}
r,l,t
0.0,5,0.992572
-6.0,18,1.039448
5.0,15,1.08468
-3.0,11,1.151295
9.0,14,1.205162
8.0,11,1.262988
-3.0,10,1.305953
0.0,9,1.350942
-8.0,8,1.389705
-4.0,10,1.433935
-5.0,17,1.500634
0.0,7,1.528379
-4.0,6,1.549115
3.0,8,1.583706
0.0,15,1.638162
6.0,23,1.718472
-6.0,10,1.765493
6.0,10,1.810284
-2.0,15,1.871032
-1.0,7,1.894248
4.0,7,1.92175
3.0,13,1.974478
0.0,14,2.020144
3.0,12,2.065045
4.0,10,2.135151
5.0,12,2.17349
-2.0,6,2.191465
3.0,15,2.239211
5.0,16,2.283226
0.0,13,2.319178
0.0,12,2.35342
3.0,11,2.408838
0.0,12,2.456722
-5.0,8,2.481767
3.0,16,2.526281
0.0,9,2.57188
3.0,14,2.62114
-12.0,14,2.664203
4.0,15,2.732204
8.0,10,2.766299
0.0,10,2.812356
-2.0,7,2.837433
7.0,10,2.8725
5.0,10,2.911866
5.0,7,2.938066
2.0,12,2.986776
3.0,8,3.022057
-2.0,12,3.068399
-5.0,15,3.130115
-11.0,10,3.181204
6.0,12,3.250705
-5.0,10,3.293061
7.0,18,3.370312
0.0,7,3.392029
-2.0,8,3.414279
-10.0,11,3.449629
6.0,15,3.496482
4.0,6,3.513989
-2.0,17,3.571103
-2.0,8,3.597233
13.0,8,3.623428
-5.0,12,3.683803
5.0,14,3.738642
6.0,12,3.784914
12.0,9,3.814953
3.0,8,3.838226
0.0,15,3.898021
-4.0,11,3.933282
-3.0,11,3.968304
1.0,11,4.003246
2.0,9,4.033858
1.0,12,4.099574
-5.0,9,4.136273
-1.0,10,4.175878
5.0,23,4.277258
4.0,24,4.403176
4.0,9,4.440351
0.0,14,4.487526
-3.0,17,4.542629
-3.0,8,4.567963
-6.0,12,4.603765
0.0,11,4.63633
2.0,12,4.684681
-10.0,12,4.747316
0.0,10,4.78687
0.0,13,4.824687
-3.0,21,4.963273
4.0,14,5.001299
0.0,9,5.030356
-2.0,10,5.07025
1.0,8,5.100145
7.0,7,5.131244
4.0,17,5.201441
0.0,11,5.237628
3.0,13,5.28574
-4.0,7,5.303117
-6.0,17,5.348443
-5.0,10,5.372161
3.0,9,5.399372
-1.0,14,5.43812
-1.0,16,5.48934
-4.0,8,5.511624
5.0,8,5.535968
0.0,9,5.576842
-4.0,8,5.597256
5.0,15,5.637339
-1.0,16,5.69244
0.0,12,5.727239
0.0,8,5.770854
8.0,7,5.81104
-4.0,20,5.863483
-6.0,9,5.88986
5.0,13,5.922545
2.0,6,5.938128
3.0,9,5.951422
3.0,10,5.983361
-10.0,10,6.01252
0.0,15,6.049047
-2.0,9,6.072801
4.0,7,6.089007
0.0,6,6.108396
-9.0,15,6.147871
