#{"t_start": 1732804559.543672, "env_id": "sokoban-wide-v0"}
r,l,t
-6.0,7,1.183383
0.0,8,1.294291
0.0,7,1.421287
-13.0,7,1.526289
-3.0,9,1.671617
6.0,6,1.814908
-2.0,5,1.883906
-3.0,5,1.943907
-2.0,7,2.047464
-3.0,5,2.091521
8.0,5,2.184456
-5.0,6,2.270454
-17.0,8,2.408453
7.0,6,2.495453
0.0,6,2.611456
10.0,5,2.683456
-5.0,5,2.754453
0.0,5,2.821017
-9.0,5,2.887012
4.0,5,2.956944
-2.0,5,3.024934
14.0,5,3.097423
-1.0,5,3.192422
-3.0,5,3.263421
7.0,7,3.347419
-8.0,5,3.418556
-4.0,7,3.512555
-4.0,6,3.599558
-6.0,6,3.713563
-12.0,5,4.20657
4.0,6,4.282683
17.0,6,4.382685
14.0,5,4.447684
-15.0,6,4.523683
5.0,8,4.669686
-7.0,5,4.728685
-1.0,8,4.828193
0.0,9,4.942193
9.0,6,5.018193
4.0,7,5.109194
10.0,6,5.171193
10.0,10,5.316226
3.0,6,5.402226
-6.0,6,5.556228
2.0,5,5.616229
1.0,5,5.680227
-13.0,6,5.756238
0.0,6,5.823735
-8.0,7,5.923734
2.0,5,5.982734
-1.0,5,6.067736
1.0,6,6.157906
-1.0,8,6.257906
-5.0,6,6.343985
-2.0,6,6.411972
-1.0,5,6.471907
6.0,5,6.594907
2.0,6,6.668906
0.0,5,6.721907
-10.0,6,6.782906
-5.0,5,6.853415
-3.0,7,6.959413
6.0,6,7.024414
25.0,5,7.085414
10.0,5,7.155412
-3.0,9,7.382415
2.0,6,7.489425
8.0,7,7.604866
2.0,8,7.758873
-1.0,7,7.889386
-2.0,8,8.03238
8.0,6,8.137381
-15.0,6,8.247447
5.0,5,8.32038
7.0,7,8.42938
-14.0,7,8.564384
-13.0,8,8.735382
2.0,5,8.83689
-3.0,5,8.906689
-10.0,7,9.177689
-6.0,5,9.282688
13.0,7,9.486792
-12.0,6,9.650783
-3.0,8,9.770799
-5.0,7,9.888306
3.0,8,10.028294
-3.0,5,10.152297
0.0,6,10.257614
-9.0,6,10.448536
2.0,9,10.623536
-3.0,6,10.731538
-4.0,7,10.864057
6.0,6,10.962802
3.0,5,11.058813
6.0,7,11.178799
0.0,7,11.287801
-2.0,6,11.391802
0.0,5,11.473804
7.0,6,11.5738
19.0,5,11.644516
-2.0,5,11.720516
-5.0,7,11.818515
4.0,6,11.897699
-10.0,7,12.015694
-8.0,6,12.100702
-2.0,5,12.175694
19.0,5,12.273772
-7.0,10,12.416698
-4.0,5,12.574699
-8.0,7,12.715694
-7.0,5,12.778695
-7.0,7,12.867198
9.0,6,12.984457
-11.0,6,13.076457
8.0,5,13.148464
-2.0,7,13.264457
-1.0,5,13.352459
-1.0,5,13.441458
-7.0,6,13.521467
3.0,6,13.619525
4.0,10,13.813457
-12.0,8,13.935964
-6.0,6,14.050967
2.0,7,14.144967
-10.0,5,14.217473
-2.0,7,14.329174
5.0,5,14.447174
13.0,7,14.581175
1.0,5,14.680177
16.0,5,14.740184
2.0,6,14.816181
4.0,6,14.899247
10.0,10,15.125309
12.0,10,15.312321
-7.0,6,15.431384
-8.0,5,15.498321
0.0,5,15.595318
4.0,6,15.709509
4.0,10,15.880849
11.0,5,15.978847
-6.0,6,16.113848
-1.0,6,16.210851
-11.0,6,16.297845
0.0,7,16.406849
1.0,7,16.515847
-1.0,6,16.598846
0.0,5,16.663851
-3.0,5,16.726846
-7.0,10,16.888351
3.0,7,17.007353
-10.0,8,17.119738
-11.0,5,17.195738
-5.0,5,17.273738
-8.0,5,17.591846
-2.0,5,17.665842
-14.0,8,18.454874
0.0,5,18.516875
-5.0,6,18.588876
-10.0,6,18.679888
4.0,8,19.261766
10.0,8,19.371768
-2.0,6,19.460769
-9.0,6,19.53177
-12.0,5,19.612767
-5.0,7,19.721767
2.0,7,19.844193
-12.0,8,19.996702
-5.0,5,20.085702
7.0,5,20.179701
2.0,10,20.371898
9.0,5,20.492831
5.0,9,20.729833
-12.0,6,20.839833
-4.0,5,20.928348
-2.0,8,21.063349
1.0,7,21.208496
-2.0,6,21.3115
-3.0,5,21.391499
8.0,5,21.480559
-4.0,5,21.591498
7.0,8,21.727497
4.0,5,21.822498
6.0,7,21.936004
-5.0,5,22.00301
-3.0,7,22.108009
1.0,5,22.175009
7.0,9,22.316004
-1.0,6,22.403017
14.0,5,22.501167
4.0,5,22.606146
-4.0,6,22.711294
0.0,8,22.835227
-6.0,5,22.933738
-4.0,8,23.090737
5.0,5,23.158736
2.0,6,23.239737
2.0,7,23.348737
7.0,6,23.452737
5.0,7,23.591804
1.0,6,23.697594
-5.0,8,23.864642
-6.0,6,23.951944
4.0,5,24.040948
8.0,7,24.151945
-1.0,5,24.243946
4.0,6,24.323947
-9.0,7,24.501944
6.0,5,24.595945
14.0,7,24.720945
13.0,7,24.837943
5.0,7,24.953984
11.0,8,25.068985
1.0,7,25.191984
4.0,9,25.317642
1.0,5,25.394737
2.0,7,25.528749
-10.0,7,25.63774
1.0,7,25.737739
0.0,6,25.826737
-9.0,5,25.907737
2.0,8,26.109256
9.0,5,26.195253
-11.0,6,26.296254
-2.0,5,26.37727
-1.0,5,26.460253
7.0,5,26.530253
-1.0,7,26.683578
5.0,5,26.761579
2.0,7,26.883582
-5.0,10,27.034097
-10.0,7,27.130099
-2.0,6,27.481469
-5.0,6,27.554531
-8.0,8,27.691463
2.0,8,27.831469
8.0,7,27.950329
7.0,5,28.032328
-2.0,6,28.127306
-6.0,7,28.261374
-8.0,9,28.433307
-16.0,6,28.548306
-4.0,8,28.847309
-4.0,7,28.960518
-3.0,5,29.062515
-10.0,5,29.157516
-6.0,7,29.249514
-1.0,7,29.351733
-1.0,5,29.423668
0.0,6,29.542668
-2.0,6,29.655668
2.0,5,29.727677
-3.0,5,29.813668
-2.0,9,29.945174
-2.0,8,30.067176
-8.0,10,30.211176
-13.0,6,30.300173
4.0,6,30.386261
-8.0,9,30.748526
2.0,5,30.844526
-3.0,5,30.92259
13.0,9,31.052163
5.0,5,31.124166
-4.0,6,31.238163
-4.0,7,31.367163
-1.0,6,31.544163
7.0,5,31.72517
-5.0,6,31.817164
-7.0,7,31.9537
-1.0,5,32.018701
10.0,6,32.129923
-4.0,7,32.240928
-12.0,6,32.341923
-3.0,5,32.408923
3.0,5,32.478929
-1.0,7,32.573923
10.0,6,32.703925
-1.0,6,32.912926
-7.0,5,32.989509
5.0,11,33.170444
-7.0,5,33.26444
15.0,6,33.37244
3.0,6,33.48866
-11.0,5,33.560656
6.0,6,33.651655
0.0,6,33.756656
-7.0,5,33.825656
-8.0,6,33.937655
