#{"t_start": 1734005089.2138917, "env_id": "None"}
r,l,t
-0.5,13,1.460634
-15.5,13,1.460634
-3.5,13,1.460634
-2.0,14,1.469633
-6.0,14,1.469633
-5.5,15,1.476644
3.5,15,1.476644
4.5,15,1.476644
-12.5,15,1.476644
-16.5,17,1.483813
-10.5,15,1.567924
6.0,14,1.567924
6.0,14,1.567924
-6.0,16,1.567924
-13.5,15,1.567924
-9.0,16,1.567924
-4.5,17,1.571923
-14.0,16,1.574924
5.5,17,1.578925
-19.0,16,1.582994
-13.0,12,1.60808
-12.0,12,1.614841
-4.5,13,1.614841
5.5,15,1.617847
-8.0,16,1.621897
-2.0,16,1.621897
3.5,17,1.62591
-1.5,17,1.62591
-12.5,15,1.628896
1.0,14,1.628896
-21.0,16,1.661197
-2.5,15,1.664217
3.5,13,1.664217
-6.5,17,1.676362
9.5,13,1.676362
-7.0,14,1.680624
-5.5,15,1.680624
-10.5,17,1.680624
-4.5,17,1.701801
-5.0,20,1.708802
1.0,14,1.756819
8.5,13,1.764799
4.0,14,1.764799
-13.5,17,1.764799
-19.0,16,1.764799
1.5,15,1.7688
-5.5,17,1.777817
16.5,19,1.784822
-4.5,15,1.784822
3.0,18,1.787801
-4.0,12,1.8038
0.5,13,1.807801
-9.0,16,1.821959
-8.0,14,1.821959
-26.5,13,1.821959
-8.5,15,1.829967
-2.0,12,1.839106
6.5,13,1.844207
6.5,15,1.857205
-6.5,19,1.861339
-14.0,12,1.866341
-2.0,14,1.876343
-16.0,14,1.880354
14.5,15,1.883343
-5.5,15,1.88734
2.0,16,1.88734
11.0,14,1.895343
-12.5,15,1.895343
-3.5,13,1.912527
15.0,16,1.916508
-16.0,16,1.919513
3.5,15,1.929012
0.5,15,1.933011
16.5,15,1.947011
0.5,17,1.951012
4.0,14,1.957011
-24.5,19,1.963126
4.5,13,1.966126
-15.5,13,1.972124
-3.5,19,1.975126
8.0,14,1.991282
-6.5,13,2.001284
-5.0,16,2.006285
9.5,13,2.010283
-4.5,13,2.014412
3.5,17,2.021525
-3.0,14,2.036664
18.0,18,2.042667
8.0,16,2.046665
-7.5,19,2.057204
-2.0,14,2.061198
2.5,17,2.061198
4.0,12,2.068197
3.0,14,2.07127
-19.0,16,2.074198
4.5,13,2.078217
-8.5,15,2.09644
-10.5,15,2.10744
-5.5,13,2.10744
-1.0,14,2.111652
5.5,15,2.111652
-3.5,17,2.111652
-7.0,14,2.123651
3.5,13,2.123651
2.0,12,2.127649
-5.5,17,2.150033
5.5,13,2.158032
5.5,13,2.170605
-15.5,13,2.174621
-10.0,14,2.178608
8.5,15,2.178608
-7.0,14,2.178608
-11.0,12,2.182603
-4.0,16,2.19267
-7.5,17,2.196682
-15.0,14,2.206165
-9.0,14,2.227164
-23.0,12,2.227164
1.0,12,2.234163
-6.5,15,2.239163
-24.5,19,2.239163
3.0,14,2.239163
